"trans","ko"
"TRINITY_DN20327_c0_g1_i1","ko:K03936"
"TRINITY_DN9502_c0_g1_i1","ko:K05757"
"TRINITY_DN8117_c0_g1_i1","ko:K02136"
"TRINITY_DN10151_c0_g1_i1","ko:K03950"
"TRINITY_DN9376_c0_g1_i1","ko:K07860"
"TRINITY_DN8517_c0_g1_i1","ko:K07860"
"TRINITY_DN8588_c0_g1_i2","ko:K07860"
"TRINITY_DN8588_c0_g1_i1","ko:K07860"
"TRINITY_DN18568_c0_g1_i1","ko:K04371"
"TRINITY_DN1862_c0_g1_i1","ko:K12462"
"TRINITY_DN8992_c0_g1_i1","ko:K17292"
"TRINITY_DN9103_c0_g1_i1","ko:K08547"
"TRINITY_DN9103_c0_g1_i2","ko:K08547"
"TRINITY_DN5674_c0_g1_i1","ko:K02503"
"TRINITY_DN5674_c0_g2_i1","ko:K02503"
"TRINITY_DN9658_c1_g1_i1","ko:K01368"
"TRINITY_DN7498_c0_g2_i1","ko:K03949"
"TRINITY_DN8703_c0_g1_i1","ko:K02128"
"TRINITY_DN8608_c0_g1_i1","ko:K17268"
"TRINITY_DN9632_c1_g1_i5","ko:K08568"
"TRINITY_DN9632_c1_g1_i3","ko:K08568"
"TRINITY_DN9632_c1_g1_i4","ko:K08568"
"TRINITY_DN9632_c1_g1_i2","ko:K08568"
"TRINITY_DN7747_c0_g1_i1","ko:K08958"
"TRINITY_DN1789_c0_g1_i1","ko:K08958"
"TRINITY_DN792_c0_g1_i1","ko:K14458"
"TRINITY_DN8969_c0_g1_i1","ko:K10435"
"TRINITY_DN8366_c0_g1_i2","ko:K10435"
"TRINITY_DN8366_c0_g1_i1","ko:K10435"
"TRINITY_DN9420_c0_g1_i1","ko:K09565"
"TRINITY_DN13094_c0_g1_i1","ko:K02264"
"TRINITY_DN9523_c0_g1_i1","ko:K10056"
"TRINITY_DN9319_c0_g1_i1","ko:K10364"
"TRINITY_DN9543_c1_g1_i1","ko:K00544"
"TRINITY_DN9737_c0_g1_i1","ko:K09022"
"TRINITY_DN8200_c0_g1_i2","ko:K19682"
"TRINITY_DN8200_c0_g1_i1","ko:K19682"
"TRINITY_DN9249_c0_g1_i1","ko:K00249"
"TRINITY_DN9582_c3_g1_i1","ko:K07906"
"TRINITY_DN9273_c0_g1_i1","ko:K04712"
"TRINITY_DN2851_c0_g1_i1","ko:K08516"
"TRINITY_DN3829_c0_g1_i1","ko:K00927"
"TRINITY_DN9024_c0_g1_i1","ko:K07890"
"TRINITY_DN5126_c0_g1_i1","ko:K10436"
"TRINITY_DN1608_c0_g1_i1","ko:K05606"
"TRINITY_DN6173_c0_g1_i1","ko:K11968"
"TRINITY_DN8466_c0_g1_i1","ko:K00469"
"TRINITY_DN3435_c0_g1_i1","ko:K01555"
"TRINITY_DN9212_c0_g1_i1","ko:K08764"
"TRINITY_DN4003_c0_g2_i1","ko:K06875"
"TRINITY_DN4003_c0_g1_i1","ko:K06875"
"TRINITY_DN9464_c0_g1_i1","ko:K07205"
"TRINITY_DN5366_c0_g1_i1","ko:K19788"
"TRINITY_DN5343_c0_g1_i1","ko:K02738"
"TRINITY_DN9578_c0_g1_i1","ko:K22503"
"TRINITY_DN9428_c0_g1_i1","ko:K00967"
"TRINITY_DN7670_c0_g1_i1","ko:K00500"
"TRINITY_DN5343_c0_g1_i1","ko:K02741"
"TRINITY_DN9624_c0_g1_i1","ko:K12670"
"TRINITY_DN7977_c0_g1_i1","ko:K01892"
"TRINITY_DN9459_c0_g1_i2","ko:K07955"
"TRINITY_DN1026_c0_g1_i1","ko:K05687"
"TRINITY_DN23041_c0_g1_i1","ko:K15455"
"TRINITY_DN8738_c0_g1_i1","ko:K12197"
"TRINITY_DN7749_c0_g1_i1","ko:K12197"
"TRINITY_DN6420_c0_g1_i1","ko:K00413"
"TRINITY_DN25911_c0_g1_i1","ko:K19400"
"TRINITY_DN25313_c0_g1_i1","ko:K03104"
"TRINITY_DN7440_c0_g1_i1","ko:K03031"
"TRINITY_DN9658_c1_g1_i1","ko:K01371"
"TRINITY_DN2320_c0_g1_i1","ko:K12602"
"TRINITY_DN8362_c0_g1_i1","ko:K03626"
"TRINITY_DN5549_c0_g1_i1","ko:K00966"
"TRINITY_DN5549_c0_g2_i1","ko:K00966"
"TRINITY_DN9216_c0_g1_i1","ko:K01953"
"TRINITY_DN7655_c0_g1_i1","ko:K02732"
"TRINITY_DN9393_c0_g1_i1","ko:K17920"
"TRINITY_DN8946_c0_g1_i2","ko:K00456"
"TRINITY_DN8946_c0_g1_i1","ko:K00456"
"TRINITY_DN8648_c0_g1_i1","ko:K06109"
"TRINITY_DN8746_c0_g1_i1","ko:K06109"
"TRINITY_DN5238_c0_g2_i1","ko:K12398"
"TRINITY_DN20341_c0_g1_i1","ko:K09570"
"TRINITY_DN9448_c0_g2_i2","ko:K14286"
"TRINITY_DN15863_c0_g1_i1","ko:K15028"
"TRINITY_DN9303_c0_g1_i1","ko:K17081"
"TRINITY_DN5530_c0_g1_i1","ko:K02725"
"TRINITY_DN8923_c0_g1_i1","ko:K12393"
"TRINITY_DN8263_c0_g1_i2","ko:K04500"
"TRINITY_DN9277_c1_g1_i1","ko:K19729"
"TRINITY_DN8330_c0_g1_i1","ko:K17266"
"TRINITY_DN7250_c0_g1_i1","ko:K02734"
"TRINITY_DN8933_c0_g1_i1","ko:K07939"
"TRINITY_DN8446_c0_g1_i1","ko:K07939"
"TRINITY_DN6772_c0_g1_i1","ko:K07939"
"TRINITY_DN6772_c0_g2_i1","ko:K07939"
"TRINITY_DN9122_c0_g1_i1","ko:K07939"
"TRINITY_DN8933_c0_g1_i2","ko:K07939"
"TRINITY_DN8880_c0_g1_i1","ko:K08872"
"TRINITY_DN19241_c0_g1_i1","ko:K09658"
"TRINITY_DN7236_c0_g1_i1","ko:K04503"
"TRINITY_DN13362_c0_g1_i1","ko:K07952"
"TRINITY_DN9642_c4_g8_i1","ko:K20369"
"TRINITY_DN9642_c4_g8_i2","ko:K20369"
"TRINITY_DN9125_c0_g1_i1","ko:K20352"
"TRINITY_DN9125_c0_g1_i2","ko:K20352"
"TRINITY_DN9101_c0_g1_i3","ko:K12757"
"TRINITY_DN9101_c0_g1_i2","ko:K12757"
"TRINITY_DN6931_c0_g1_i1","ko:K12757"
"TRINITY_DN9010_c0_g1_i1","ko:K12757"
"TRINITY_DN9101_c0_g1_i1","ko:K12757"
"TRINITY_DN9489_c0_g1_i1","ko:K10705"
"TRINITY_DN9489_c0_g1_i2","ko:K10705"
"TRINITY_DN6768_c0_g1_i1","ko:K15620"
"TRINITY_DN6768_c0_g2_i1","ko:K15620"
"TRINITY_DN9430_c0_g1_i2","ko:K07192"
"TRINITY_DN9430_c0_g1_i1","ko:K07192"
"TRINITY_DN1396_c0_g1_i1","ko:K15153"
"TRINITY_DN7081_c0_g1_i1","ko:K04370"
"TRINITY_DN8907_c0_g2_i1","ko:K17732"
"TRINITY_DN5081_c0_g1_i1","ko:K02737"
"TRINITY_DN9786_c0_g1_i1","ko:K12620"
"TRINITY_DN9280_c1_g2_i1","ko:K09563"
"TRINITY_DN18993_c0_g1_i1","ko:K11659"
"TRINITY_DN27061_c0_g1_i1","ko:K10411"
"TRINITY_DN7232_c0_g1_i1","ko:K09569"
"TRINITY_DN9612_c0_g1_i1","ko:K01758"
"TRINITY_DN9612_c0_g1_i2","ko:K01758"
"TRINITY_DN8422_c0_g1_i1","ko:K00814"
"TRINITY_DN6536_c0_g1_i1","ko:K01527"
"TRINITY_DN8888_c0_g1_i1","ko:K07887"
"TRINITY_DN9468_c0_g1_i1","ko:K05763"
"TRINITY_DN8263_c0_g1_i2","ko:K04676"
"TRINITY_DN7236_c0_g1_i1","ko:K10152"
"TRINITY_DN8648_c0_g1_i1","ko:K07875"
"TRINITY_DN8364_c0_g1_i2","ko:K07875"
"TRINITY_DN8364_c0_g1_i1","ko:K07875"
"TRINITY_DN8746_c0_g2_i1","ko:K07875"
"TRINITY_DN7365_c0_g1_i1","ko:K17795"
"TRINITY_DN6453_c0_g1_i1","ko:K20791"
"TRINITY_DN8679_c0_g1_i1","ko:K12194"
"TRINITY_DN8888_c0_g1_i1","ko:K07889"
"TRINITY_DN3565_c0_g1_i1","ko:K08515"
"TRINITY_DN1004_c0_g1_i1","ko:K17771"
"TRINITY_DN8648_c0_g1_i1","ko:K07902"
"TRINITY_DN8746_c0_g1_i1","ko:K07902"
"TRINITY_DN9408_c0_g1_i1","ko:K05754"
"TRINITY_DN9408_c0_g1_i2","ko:K05754"
"TRINITY_DN3379_c0_g1_i1","ko:K04555"
"TRINITY_DN3379_c0_g2_i1","ko:K04555"
"TRINITY_DN5770_c0_g2_i1","ko:K15544"
"TRINITY_DN8468_c0_g1_i1","ko:K02891"
"TRINITY_DN608_c0_g2_i1","ko:K12669"
"TRINITY_DN608_c0_g1_i1","ko:K12669"
"TRINITY_DN7145_c0_g1_i1","ko:K04739"
"TRINITY_DN8476_c0_g1_i1","ko:K04444"
"TRINITY_DN7236_c0_g1_i1","ko:K10151"
"TRINITY_DN2442_c0_g1_i1","ko:K14324"
"TRINITY_DN7724_c0_g1_i1","ko:K15025"
"TRINITY_DN8151_c0_g1_i1","ko:K07879"
"TRINITY_DN5495_c0_g1_i1","ko:K07879"
"TRINITY_DN5495_c0_g1_i2","ko:K07879"
"TRINITY_DN9567_c0_g1_i1","ko:K01893"
"TRINITY_DN15070_c0_g1_i1","ko:K00419"
"TRINITY_DN9177_c0_g1_i1","ko:K19931"
"TRINITY_DN9177_c0_g1_i2","ko:K19931"
"TRINITY_DN7238_c0_g1_i1","ko:K20301"
"TRINITY_DN7332_c0_g1_i2","ko:K10704"
"TRINITY_DN7332_c0_g1_i1","ko:K10704"
"TRINITY_DN2619_c0_g1_i1","ko:K00357"
"TRINITY_DN7637_c0_g1_i1","ko:K17780"
"TRINITY_DN7413_c0_g1_i1","ko:K20346"
"TRINITY_DN7413_c0_g2_i1","ko:K20346"
"TRINITY_DN8147_c0_g1_i1","ko:K19765"
"TRINITY_DN7445_c0_g1_i1","ko:K13251"
"TRINITY_DN6367_c0_g2_i1","ko:K10419"
"TRINITY_DN6367_c0_g1_i1","ko:K10419"
"TRINITY_DN5713_c0_g1_i1","ko:K08762"
"TRINITY_DN8346_c1_g2_i1","ko:K11279"
"TRINITY_DN8878_c0_g2_i1","ko:K15427"
"TRINITY_DN8446_c0_g1_i1","ko:K07977"
"TRINITY_DN6772_c0_g1_i1","ko:K07977"
"TRINITY_DN25356_c0_g1_i1","ko:K07977"
"TRINITY_DN6772_c0_g2_i1","ko:K07977"
"TRINITY_DN19218_c0_g1_i1","ko:K07937"
"TRINITY_DN6304_c0_g1_i1","ko:K02149"
"TRINITY_DN8413_c0_g2_i1","ko:K07827"
"TRINITY_DN6763_c0_g1_i1","ko:K05764"
"TRINITY_DN9529_c2_g1_i1","ko:K10354"
"TRINITY_DN8955_c0_g1_i1","ko:K09584"
"TRINITY_DN8955_c0_g1_i3","ko:K09584"
"TRINITY_DN8955_c0_g1_i2","ko:K09584"
"TRINITY_DN6698_c0_g1_i1","ko:K12873"
"TRINITY_DN6698_c0_g2_i1","ko:K12873"
"TRINITY_DN25971_c0_g1_i1","ko:K04392"
"TRINITY_DN8517_c0_g1_i1","ko:K04392"
"TRINITY_DN7707_c0_g1_i1","ko:K02889"
"TRINITY_DN550_c0_g1_i1","ko:K04364"
"TRINITY_DN18734_c0_g1_i1","ko:K04353"
"TRINITY_DN8413_c0_g2_i1","ko:K04353"
"TRINITY_DN6364_c0_g1_i1","ko:K19932"
"TRINITY_DN5697_c0_g2_i1","ko:K11096"
"TRINITY_DN9134_c0_g1_i1","ko:K02882"
"TRINITY_DN9412_c0_g1_i1","ko:K01890"
"TRINITY_DN16660_c0_g1_i1","ko:K12158"
"TRINITY_DN7335_c0_g1_i1","ko:K02951"
"TRINITY_DN8513_c0_g1_i1","ko:K08794"
"TRINITY_DN9117_c0_g1_i1","ko:K06630"
"TRINITY_DN12303_c0_g1_i1","ko:K06689"
"TRINITY_DN8796_c0_g2_i2","ko:K03115"
"TRINITY_DN8796_c0_g2_i1","ko:K03115"
"TRINITY_DN24787_c0_g1_i1","ko:K14803"
"TRINITY_DN7262_c0_g1_i1","ko:K11087"
"TRINITY_DN8475_c0_g1_i1","ko:K20347"
"TRINITY_DN7221_c0_g1_i2","ko:K11088"
"TRINITY_DN7221_c0_g1_i1","ko:K11088"
"TRINITY_DN18529_c0_g1_i1","ko:K04077"
"TRINITY_DN18637_c0_g1_i1","ko:K05756"
"TRINITY_DN9280_c1_g2_i1","ko:K03767"
"TRINITY_DN9420_c0_g1_i1","ko:K03767"
"TRINITY_DN5628_c0_g1_i1","ko:K03109"
"TRINITY_DN9355_c0_g1_i2","ko:K01368"
"TRINITY_DN9355_c0_g1_i4","ko:K01368"
"TRINITY_DN9355_c0_g1_i5","ko:K01368"
"TRINITY_DN9506_c0_g1_i1","ko:K07825"
"TRINITY_DN5546_c0_g1_i1","ko:K07213"
"TRINITY_DN9277_c1_g1_i1","ko:K04634"
"TRINITY_DN24859_c0_g1_i1","ko:K04634"
"TRINITY_DN5495_c0_g1_i1","ko:K07880"
"TRINITY_DN5495_c0_g1_i2","ko:K07880"
"TRINITY_DN6676_c0_g1_i1","ko:K12948"
"TRINITY_DN8871_c0_g1_i1","ko:K09481"
"TRINITY_DN7048_c0_g1_i1","ko:K04369"
"TRINITY_DN8219_c0_g1_i1","ko:K01875"
"TRINITY_DN9039_c0_g1_i1","ko:K13279"
"TRINITY_DN7048_c0_g1_i1","ko:K04368"
"TRINITY_DN25479_c0_g1_i1","ko:K03014"
"TRINITY_DN7278_c0_g1_i1","ko:K05361"
"TRINITY_DN5934_c0_g1_i1","ko:K02994"
"TRINITY_DN8160_c0_g1_i1","ko:K09569"
"TRINITY_DN8009_c0_g1_i1","ko:K17918"
"TRINITY_DN12933_c0_g1_i1","ko:K02929"
"TRINITY_DN9067_c0_g1_i1","ko:K22556"
"TRINITY_DN9402_c0_g1_i2","ko:K01697"
"TRINITY_DN9402_c0_g1_i1","ko:K01697"
"TRINITY_DN9529_c2_g4_i1","ko:K10355"
"TRINITY_DN8588_c0_g1_i2","ko:K07975"
"TRINITY_DN8588_c0_g1_i1","ko:K07975"
"TRINITY_DN7747_c0_g1_i1","ko:K14758"
"TRINITY_DN8364_c0_g1_i1","ko:K07976"
"TRINITY_DN8364_c0_g1_i2","ko:K07976"
"TRINITY_DN9582_c3_g1_i1","ko:K07905"
"TRINITY_DN7513_c0_g1_i1","ko:K20302"
"TRINITY_DN9090_c0_g1_i1","ko:K03236"
"TRINITY_DN5495_c0_g1_i2","ko:K07881"
"TRINITY_DN8151_c0_g1_i1","ko:K07881"
"TRINITY_DN5495_c0_g1_i1","ko:K07881"
"TRINITY_DN8878_c0_g2_i1","ko:K17615"
"TRINITY_DN8515_c0_g1_i1","ko:K07918"
"TRINITY_DN20016_c0_g1_i1","ko:K10753"
"TRINITY_DN8357_c0_g1_i1","ko:K02915"
"TRINITY_DN14026_c0_g1_i1","ko:K16185"
"TRINITY_DN792_c0_g1_i1","ko:K14457"
"TRINITY_DN8413_c0_g2_i1","ko:K07836"
"TRINITY_DN8775_c0_g1_i1","ko:K12191"
"TRINITY_DN8775_c0_g1_i2","ko:K12191"
"TRINITY_DN9376_c0_g1_i1","ko:K07975"
"TRINITY_DN9534_c0_g1_i1","ko:K13126"
"TRINITY_DN2173_c0_g1_i1","ko:K12826"
"TRINITY_DN8244_c0_g1_i1","ko:K10574"
"TRINITY_DN9038_c0_g2_i1","ko:K01090"
"TRINITY_DN6890_c0_g1_i1","ko:K06268"
"TRINITY_DN3155_c0_g1_i1","ko:K07830"
"TRINITY_DN18734_c0_g1_i1","ko:K07830"
"TRINITY_DN8273_c0_g1_i1","ko:K04552"
"TRINITY_DN5950_c0_g1_i1","ko:K02947"
"TRINITY_DN3155_c0_g1_i1","ko:K04353"
"TRINITY_DN7747_c0_g1_i1","ko:K08960"
"TRINITY_DN8476_c0_g1_i1","ko:K04443"
"TRINITY_DN5502_c0_g1_i1","ko:K12751"
"TRINITY_DN25793_c0_g1_i1","ko:K18211"
"TRINITY_DN26093_c0_g1_i1","ko:K22071"
"TRINITY_DN3607_c0_g1_i1","ko:K03012"
"TRINITY_DN5689_c0_g2_i1","ko:K03123"
"TRINITY_DN5689_c0_g1_i1","ko:K03123"
"TRINITY_DN8544_c0_g1_i1","ko:K20398"
"TRINITY_DN8347_c0_g1_i1","ko:K04364"
"TRINITY_DN1700_c0_g1_i1","ko:K02152"
"TRINITY_DN8772_c0_g1_i1","ko:K04354"
"TRINITY_DN7932_c0_g1_i1","ko:K12198"
"TRINITY_DN7510_c0_g1_i1","ko:K02975"
"TRINITY_DN6779_c0_g1_i1","ko:K20217"
"TRINITY_DN7626_c0_g1_i1","ko:K21870"
"TRINITY_DN8933_c0_g1_i1","ko:K07941"
"TRINITY_DN8933_c0_g1_i2","ko:K07941"
"TRINITY_DN8446_c0_g1_i1","ko:K07941"
"TRINITY_DN9122_c0_g1_i1","ko:K07941"
"TRINITY_DN3935_c0_g1_i1","ko:K03237"
"TRINITY_DN9117_c0_g1_i1","ko:K16198"
"TRINITY_DN8657_c0_g1_i1","ko:K16198"
"TRINITY_DN9126_c0_g2_i1","ko:K16198"
"TRINITY_DN9126_c0_g1_i2","ko:K16198"
"TRINITY_DN9126_c0_g2_i2","ko:K16198"
"TRINITY_DN7881_c0_g1_i1","ko:K16198"
"TRINITY_DN9126_c0_g1_i3","ko:K16198"
"TRINITY_DN8164_c0_g1_i1","ko:K02896"
"TRINITY_DN9103_c0_g1_i2","ko:K08702"
"TRINITY_DN9103_c0_g1_i1","ko:K08702"
"TRINITY_DN9553_c0_g1_i1","ko:K04079"
"TRINITY_DN3155_c0_g1_i1","ko:K07836"
"TRINITY_DN18734_c0_g1_i1","ko:K07836"
"TRINITY_DN7747_c0_g1_i1","ko:K08959"
"TRINITY_DN118_c0_g2_i1","ko:K03015"
"TRINITY_DN118_c0_g1_i1","ko:K03015"
"TRINITY_DN608_c0_g2_i1","ko:K19478"
"TRINITY_DN608_c0_g1_i1","ko:K19478"
"TRINITY_DN8852_c0_g1_i1","ko:K23034"
"TRINITY_DN8303_c0_g1_i1","ko:K18269"
"TRINITY_DN7681_c0_g1_i1","ko:K14397"
"TRINITY_DN14534_c0_g1_i1","ko:K22942"
"TRINITY_DN6150_c0_g1_i1","ko:K05752"
"TRINITY_DN6150_c0_g2_i1","ko:K05752"
"TRINITY_DN29057_c0_g1_i1","ko:K13120"
"TRINITY_DN5498_c0_g1_i1","ko:K07910"
"TRINITY_DN6428_c1_g1_i1","ko:K08824"
"TRINITY_DN27386_c0_g1_i1","ko:K03020"
"TRINITY_DN8151_c0_g1_i1","ko:K07880"
"TRINITY_DN5774_c0_g2_i1","ko:K12947"
"TRINITY_DN5774_c0_g1_i1","ko:K12947"
"TRINITY_DN5809_c0_g1_i1","ko:K22939"
"TRINITY_DN6364_c0_g1_i1","ko:K19695"
"TRINITY_DN9093_c0_g1_i1","ko:K22390"
"TRINITY_DN9093_c0_g1_i3","ko:K22390"
"TRINITY_DN9529_c2_g4_i1","ko:K05692"
"TRINITY_DN7618_c0_g1_i1","ko:K12581"
"TRINITY_DN5673_c0_g1_i1","ko:K03627"
"TRINITY_DN9289_c0_g1_i1","ko:K03233"
"TRINITY_DN9367_c0_g1_i1","ko:K00240"
"TRINITY_DN4061_c0_g1_i1","ko:K02913"
"TRINITY_DN9358_c0_g1_i1","ko:K01881"
"TRINITY_DN9280_c1_g2_i1","ko:K09565"
"TRINITY_DN9101_c0_g1_i2","ko:K12753"
"TRINITY_DN9101_c0_g1_i1","ko:K12753"
"TRINITY_DN9101_c0_g1_i3","ko:K12753"
"TRINITY_DN8888_c0_g1_i1","ko:K07888"
"TRINITY_DN8263_c0_g1_i2","ko:K16790"
"TRINITY_DN8588_c0_g1_i1","ko:K07857"
"TRINITY_DN8517_c0_g1_i1","ko:K07857"
"TRINITY_DN8588_c0_g1_i2","ko:K07857"
"TRINITY_DN9376_c0_g1_i1","ko:K07857"
"TRINITY_DN9101_c0_g1_i2","ko:K12755"
"TRINITY_DN6931_c0_g1_i1","ko:K12755"
"TRINITY_DN9101_c0_g1_i3","ko:K12755"
"TRINITY_DN9010_c0_g1_i1","ko:K12755"
"TRINITY_DN9101_c0_g1_i1","ko:K12755"
"TRINITY_DN18734_c0_g1_i1","ko:K02833"
"TRINITY_DN8413_c0_g2_i1","ko:K02833"
"TRINITY_DN3155_c0_g1_i1","ko:K02833"
"TRINITY_DN8446_c0_g1_i1","ko:K07940"
"TRINITY_DN6772_c0_g2_i1","ko:K07940"
"TRINITY_DN8933_c0_g1_i1","ko:K07940"
"TRINITY_DN9122_c0_g1_i1","ko:K07940"
"TRINITY_DN6772_c0_g1_i1","ko:K07940"
"TRINITY_DN8933_c0_g1_i2","ko:K07940"
"TRINITY_DN9627_c0_g1_i1","ko:K09490"
"TRINITY_DN3155_c0_g1_i1","ko:K07828"
"TRINITY_DN18734_c0_g1_i1","ko:K07828"
"TRINITY_DN8413_c0_g2_i1","ko:K07828"
"TRINITY_DN8648_c0_g1_i1","ko:K07903"
"TRINITY_DN8746_c0_g1_i1","ko:K07903"
"TRINITY_DN9529_c2_g1_i1","ko:K12313"
"TRINITY_DN4032_c0_g1_i1","ko:K21751"
"TRINITY_DN6772_c0_g2_i1","ko:K07941"
"TRINITY_DN6772_c0_g1_i1","ko:K07941"
"TRINITY_DN9026_c1_g1_i2","ko:K04551"
"TRINITY_DN9026_c1_g1_i11","ko:K04551"
"TRINITY_DN9026_c1_g1_i5","ko:K04551"
"TRINITY_DN5454_c0_g1_i1","ko:K02639"
"TRINITY_DN13132_c0_g1_i1","ko:K02078"
"TRINITY_DN6487_c0_g1_i1","ko:K17095"
"TRINITY_DN9064_c0_g1_i2","ko:K13182"
"TRINITY_DN9064_c0_g1_i3","ko:K13182"
"TRINITY_DN17216_c0_g1_i1","ko:K14568"
"TRINITY_DN26167_c0_g1_i1","ko:K11663"
"TRINITY_DN8364_c0_g1_i1","ko:K07876"
"TRINITY_DN8746_c0_g2_i1","ko:K07876"
"TRINITY_DN8364_c0_g1_i2","ko:K07876"
"TRINITY_DN761_c0_g1_i1","ko:K07891"
"TRINITY_DN8144_c0_g1_i1","ko:K08870"
"TRINITY_DN5846_c0_g1_i1","ko:K12395"
"TRINITY_DN4053_c0_g1_i1","ko:K02267"
"TRINITY_DN4876_c0_g1_i1","ko:K10582"
"TRINITY_DN8513_c0_g1_i1","ko:K08795"
"TRINITY_DN9355_c0_g1_i2","ko:K01371"
"TRINITY_DN9355_c0_g1_i5","ko:K01371"
"TRINITY_DN9355_c0_g1_i2","ko:K01375"
"TRINITY_DN9355_c0_g1_i4","ko:K01375"
"TRINITY_DN9355_c0_g1_i5","ko:K01375"
"TRINITY_DN9658_c1_g1_i1","ko:K01375"
"TRINITY_DN9355_c0_g1_i1","ko:K01375"
"TRINITY_DN9103_c0_g1_i1","ko:K08549"
"TRINITY_DN9103_c0_g1_i2","ko:K08549"
"TRINITY_DN9316_c0_g1_i1","ko:K00129"
"TRINITY_DN6710_c1_g1_i1","ko:K07950"
"TRINITY_DN18734_c0_g1_i1","ko:K07831"
"TRINITY_DN10906_c0_g1_i1","ko:K20350"
"TRINITY_DN8588_c0_g1_i2","ko:K07194"
"TRINITY_DN8588_c0_g1_i1","ko:K07194"
"TRINITY_DN9376_c0_g1_i1","ko:K07194"
"TRINITY_DN8913_c0_g1_i1","ko:K12828"
"TRINITY_DN13498_c0_g1_i1","ko:K18646"
"TRINITY_DN8515_c0_g1_i1","ko:K07923"
"TRINITY_DN9543_c1_g1_i1","ko:K00547"
"TRINITY_DN7771_c0_g1_i1","ko:K11980"
"TRINITY_DN9582_c4_g1_i2","ko:K00552"
"TRINITY_DN9277_c1_g1_i1","ko:K04535"
"TRINITY_DN9506_c0_g1_i1","ko:K04537"
"TRINITY_DN7881_c0_g1_i1","ko:K06644"
"TRINITY_DN8657_c0_g1_i1","ko:K06644"
"TRINITY_DN9126_c0_g2_i2","ko:K06644"
"TRINITY_DN9126_c0_g1_i3","ko:K06644"
"TRINITY_DN9126_c0_g1_i2","ko:K06644"
"TRINITY_DN9126_c0_g2_i1","ko:K06644"
"TRINITY_DN8436_c0_g1_i1","ko:K08822"
"TRINITY_DN7109_c0_g1_i1","ko:K07896"
"TRINITY_DN9376_c0_g1_i1","ko:K07863"
"TRINITY_DN8517_c0_g1_i1","ko:K07863"
"TRINITY_DN8588_c0_g1_i2","ko:K07863"
"TRINITY_DN8588_c0_g1_i1","ko:K07863"
"TRINITY_DN8263_c0_g1_i2","ko:K16791"
"TRINITY_DN9101_c0_g1_i1","ko:K10351"
"TRINITY_DN9101_c0_g1_i2","ko:K10351"
"TRINITY_DN9101_c0_g1_i3","ko:K10351"
"TRINITY_DN10906_c0_g1_i1","ko:K20349"
"TRINITY_DN7109_c0_g1_i1","ko:K07894"
"TRINITY_DN1045_c0_g1_i1","ko:K21891"
"TRINITY_DN7209_c0_g1_i1","ko:K11584"
"TRINITY_DN6612_c0_g1_i1","ko:K04431"
"TRINITY_DN5597_c0_g1_i1","ko:K02728"
"TRINITY_DN9336_c1_g1_i1","ko:K17087"
"TRINITY_DN8588_c0_g1_i1","ko:K07864"
"TRINITY_DN8588_c0_g1_i2","ko:K07864"
"TRINITY_DN9376_c0_g1_i1","ko:K07864"
"TRINITY_DN1660_c0_g1_i1","ko:K12621"
"TRINITY_DN8209_c0_g1_i2","ko:K16186"
"TRINITY_DN8209_c0_g1_i1","ko:K16186"
"TRINITY_DN8517_c0_g1_i1","ko:K07861"
"TRINITY_DN9376_c0_g1_i1","ko:K07861"
"TRINITY_DN8588_c0_g1_i2","ko:K07861"
"TRINITY_DN8588_c0_g1_i1","ko:K07861"
"TRINITY_DN820_c1_g1_i1","ko:K07837"
"TRINITY_DN8413_c0_g2_i1","ko:K07837"
"TRINITY_DN9506_c0_g1_i1","ko:K04538"
"TRINITY_DN9419_c0_g1_i1","ko:K17254"
"TRINITY_DN9420_c0_g1_i1","ko:K12738"
"TRINITY_DN9280_c1_g2_i1","ko:K12738"
"TRINITY_DN3141_c0_g1_i1","ko:K03872"
"TRINITY_DN3141_c0_g2_i1","ko:K03872"
"TRINITY_DN3141_c0_g3_i1","ko:K03872"
"TRINITY_DN8584_c0_g1_i1","ko:K03873"
"TRINITY_DN8584_c0_g1_i2","ko:K03873"
"TRINITY_DN8771_c0_g1_i1","ko:K05764"
"TRINITY_DN24573_c0_g1_i1","ko:K10576"
"TRINITY_DN8407_c0_g2_i1","ko:K05862"
"TRINITY_DN8991_c0_g2_i3","ko:K15523"
"TRINITY_DN8991_c0_g2_i4","ko:K15523"
"TRINITY_DN9012_c0_g1_i1","ko:K09595"
"TRINITY_DN7109_c0_g1_i1","ko:K07895"
"TRINITY_DN19175_c0_g1_i1","ko:K10427"
"TRINITY_DN8313_c0_g1_i1","ko:K14965"
"TRINITY_DN8927_c0_g1_i1","ko:K09667"
"TRINITY_DN5495_c0_g1_i2","ko:K07878"
"TRINITY_DN5495_c0_g1_i1","ko:K07878"
"TRINITY_DN8151_c0_g1_i1","ko:K07878"
"TRINITY_DN9448_c0_g2_i2","ko:K18202"
"TRINITY_DN25793_c0_g1_i1","ko:K08508"
"TRINITY_DN8273_c0_g1_i1","ko:K04553"
"TRINITY_DN15948_c0_g1_i1","ko:K10611"
"TRINITY_DN3379_c0_g1_i1","ko:K02207"
"TRINITY_DN3379_c0_g2_i1","ko:K02207"
"TRINITY_DN6226_c0_g1_i1","ko:K02974"
"TRINITY_DN8722_c0_g1_i2","ko:K06689"
